DIC, DIC2D, DIC2D, DIC2D, DIC2D, DIC2D, DIC2D, DIC2D, DIC2D, Log(Force 1), Log(Force 2), Log(Force 3), Log(Force 4), Log(Displacement 1), Log(Displacement 2), Log(Displacement 3), Log(Displacement 4), 
Frame Id, Location u [pix], Location u [pix], Location u [pix], Location u [pix], Location v [pix], Location v [pix], Location v [pix], Location v [pix], Force 1, Force 2, Force 3, Force 4, Displacement 1, Displacement 2, Displacement 3, Displacement 4, 
, s0, s1, s2, s3, s0, s1, s2, s3, N, N, N, N, mm, mm, mm, mm, 
 ,,,,,,,,,,,,,,,,,
103,1566.139572,1564.307915,1419.007667,1405.797919,1303.217346,1491.022102,1456.764547,1298.173098,0.11376,0.0299,0.01346,0.05621,0.78634,0.86066,0.77352,0.86626, 
104,1565.867992,1564.210905,1417.512402,1405.388867,1303.306881,1491.105014,1457.287924,1298.238575,0.11705,0.03155,0.0151,0.05785,0.79687,0.86823,0.78371,0.87711, 
105,1566.253366,1564.579383,1416.609018,1405.653159,1303.434542,1491.403532,1457.182758,1298.457852,0.11705,0.0299,0.01839,0.0595,0.79161,0.87217,0.78634,0.87941, 
106,1566.36777,1564.92705,1417.354994,1405.884994,1303.556225,1491.587529,1456.645189,1298.500895,0.11212,0.02826,0.0151,0.05785,0.81495,0.88566,0.80213,0.8975, 
107,1565.889965,1564.392014,1418.543079,1405.295911,1303.892357,1491.7812,1456.522678,1298.796419,0.12034,0.0299,0.01182,0.05292,0.81759,0.89355,0.80542,0.90144, 
108,1566.676434,1564.956918,1420.163087,1405.999088,1304.206085,1492.363589,1456.390829,1298.906718,0.11705,0.03484,0.01346,0.05785,0.83008,0.90605,0.81693,0.91262, 
109,1566.433723,1564.958254,1421.048713,1405.642034,1304.282671,1492.64027,1456.615321,1299.14589,0.12198,0.03319,0.01675,0.05621,0.84291,0.91887,0.82679,0.91295, 
110,1566.611895,1565.050814,1422.154917,1405.84867,1304.636166,1492.928275,1457.243086,1299.497141,0.11705,0.02826,0.01675,0.05621,0.83863,0.92216,0.82975,0.92742, 
111,1566.679976,1565.27569,1422.98872,1405.675807,1304.950482,1493.184633,1458.056027,1299.806955,0.11869,0.02661,0.02333,0.0595,0.85244,0.93038,0.84028,0.93762, 
112,1566.769831,1565.280344,1423.175399,1405.881716,1305.342925,1493.577335,1458.698432,1300.102624,0.12034,0.02826,0.01839,0.05785,0.86034,0.94255,0.8508,0.9488, 
